model,category,semantic_name,raw_name,default,value,min,max,interpretation
DJI Air 3,"IMU, compass & calibration controls",imu0.acc_ground_x,imu0.acc_ground_x,0,0.00982335,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.acc_ground_y,imu0.acc_ground_y,0,-0.00450791,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.acc_ground_z,imu0.acc_ground_z,0,-0.00347519,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.acc_x,imu0.acc_x,0,0.0656782,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.acc_y,imu0.acc_y,0,-0.0153992,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.acc_z,imu0.acc_z,0,-1.00116,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.alti,imu0.alti,0,182.802,0,0,runtime_or_read_only
DJI Air 3,"Navigation, GNSS & positioning",imu0.gps_svn,imu0.gps_svn,0,4,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.gyracc_status,imu0.gyracc_status,0,16384,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.gyro_x,imu0.gyro_x,0,0.0092852,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.gyro_y,imu0.gyro_y,0,0.000746054,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.gyro_z,imu0.gyro_z,0,0.00149502,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.mx,imu0.mx,0,252,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.my,imu0.my,0,-250,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.mz,imu0.mz,0,1304,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.press_alti,imu0.press_alti,0,182.651,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.q[0],imu0.q[0],0,0.949478,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.q[1],imu0.q[1],0,-0.00256134,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.q[2],imu0.q[2],0,0.0333603,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.q[3],imu0.q[3],0,0.312046,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.temperature[0],imu0.temperature[0],0,6501,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.temperature[1],imu0.temperature[1],0,700,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.temperature[2],imu0.temperature[2],0,3020,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.vel_ground_x,imu0.vel_ground_x,0,0.000848848,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.vel_ground_y,imu0.vel_ground_y,0,-0.000522621,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu0.vel_ground_z,imu0.vel_ground_z,0,-9.23832e-06,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu1.acc_ground_x,imu1.acc_ground_x,0,-0.0032605,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu1.acc_ground_y,imu1.acc_ground_y,0,-0.00620784,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu1.acc_ground_z,imu1.acc_ground_z,0,0.00460243,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu1.alti,imu1.alti,0,182.802,0,0,runtime_or_read_only
DJI Air 3,"Navigation, GNSS & positioning",imu1.gps_svn,imu1.gps_svn,0,4,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu1.mx,imu1.mx,0,257,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu1.my,imu1.my,0,-235,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu1.mz,imu1.mz,0,1293,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu1.press_alti,imu1.press_alti,0,181.857,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu1.q[0],imu1.q[0],0,0.94199,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu1.q[1],imu1.q[1],0,-0.00339455,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu1.q[2],imu1.q[2],0,0.0332782,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu1.q[3],imu1.q[3],0,0.333966,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu1.temperature[0],imu1.temperature[0],0,6500,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu1.temperature[1],imu1.temperature[1],0,700,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu1.temperature[2],imu1.temperature[2],0,3021,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu1.vel_ground_x,imu1.vel_ground_x,0,-0.00289649,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu1.vel_ground_y,imu1.vel_ground_y,0,-0.00145389,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",imu1.vel_ground_z,imu1.vel_ground_z,0,-0.00110778,0,0,runtime_or_read_only
DJI Air 3,Per-aircraft calibration & bias state,imu_cali_0.acc_gyro[0].gyro_temp,imu_cali_0.acc_gyro[0].gyro_temp,0,65.1117,0,0,runtime_or_read_only
DJI Air 3,Per-aircraft calibration & bias state,imu_cali_0.acc_gyro[0].temp_ready,imu_cali_0.acc_gyro[0].temp_ready,0,1,0,0,runtime_or_read_only
