semantic_name,aliases,category,calibration_scope,transferability,present_in_profiles,DJI Air 3 | value,DJI Air 3 | default,DJI Air 3 | min,DJI Air 3 | max,DJI Air 3S | value,DJI Air 3S | default,DJI Air 3S | min,DJI Air 3S | max,DJI Mini 4 Pro | value,DJI Mini 4 Pro | default,DJI Mini 4 Pro | min,DJI Mini 4 Pro | max,DJI Neo | value,DJI Neo | default,DJI Neo | min,DJI Neo | max,DJI Neo 2 | value,DJI Neo 2 | default,DJI Neo 2 | min,DJI Neo 2 | max,DJI Flip | value,DJI Flip | default,DJI Flip | min,DJI Flip | max,DJI Avata 360 | value,DJI Avata 360 | default,DJI Avata 360 | min,DJI Avata 360 | max,DJI Lito X1 | value,DJI Lito X1 | default,DJI Lito X1 | min,DJI Lito X1 | max
ang_vel_tiltx_comp_gain,ang_vel_tiltx_comp_gain,"Stabilization, gains & filters",,,8,32,32,0.01,5000,32,32,0.01,5000,60,60,0.01,5000,30,30,0.01,5000,30,30,0.01,5000,60,60,0.01,5000,30,30,0.01,5000,60,60,0.01,5000
ang_vel_tiltx_pi_freq,ang_vel_tiltx_pi_freq,Other / opaque internal,,,8,0.8,0.8,0.01,150,0.8,0.8,0.01,150,1,1,0.01,150,3,3,0.01,150,3,3,0.01,150,1,1,0.01,150,4,4,0.01,150,1.2,1.2,0.01,150
ang_vel_tilty_boost_freq,ang_vel_tilty_boost_freq,"Stabilization, gains & filters",,,8,0.6,0.6,0.001,2,0.6,0.6,0.001,2,0.6,0.6,0.001,2,0.6,0.6,0.001,2,0.6,0.6,0.001,2,0.6,0.6,0.001,2,0.6,0.6,0.001,2,0.6,0.6,0.001,2
ang_vel_tilty_boost_gain,ang_vel_tilty_boost_gain,"Stabilization, gains & filters",,,8,1,1,1,30,1,1,1,30,1,1,1,30,1,1,1,30,1,1,1,30,1,1,1,30,1,1,1,30,1,1,1,30
ang_vel_tilty_comp_fc,ang_vel_tilty_comp_fc,"Stabilization, gains & filters",,,8,1.8,1.8,0.01,150,1.8,1.8,0.01,150,2.1,2.1,0.01,150,2.5,2.5,0.01,150,2.5,2.5,0.01,150,2.1,2.1,0.01,150,3.5,3.5,0.01,150,2,2,0.01,150
ang_vel_tilty_comp_gain,ang_vel_tilty_comp_gain,"Stabilization, gains & filters",,,8,50,50,0.01,15000,50,50,0.01,15000,60,60,0.01,15000,30,30,0.01,15000,30,30,0.01,15000,60,60,0.01,15000,25,25,0.01,15000,60,60,0.01,15000
ang_vel_tilty_pi_freq,ang_vel_tilty_pi_freq,Other / opaque internal,,,8,0.8,0.8,0.01,150,0.8,0.8,0.01,150,1,1,0.01,150,3,3,0.01,150,3,3,0.01,150,1,1,0.01,150,4,4,0.01,150,1.2,1.2,0.01,150
antenna_gps1_2_x,antenna_gps1_2_x,Sensor installation geometry (model),model_sensor_geometry,"Do not copy across models; this is installation geometry, not proven per-unit calibration",8,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767
antenna_gps1_2_y,antenna_gps1_2_y,Sensor installation geometry (model),model_sensor_geometry,"Do not copy across models; this is installation geometry, not proven per-unit calibration",8,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767
antenna_gps1_2_z,antenna_gps1_2_z,Sensor installation geometry (model),model_sensor_geometry,"Do not copy across models; this is installation geometry, not proven per-unit calibration",8,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767,0,0,-32768,32767
